Protocol,Dataset,Condition,EER,minDCF,absolute_EER_degradation,relative_EER_degradation_percent,Near_to_Far_absolute_EER_degradation,Near_to_Far_relative_EER_degradation_percent,Near_to_Far_minDCF_degradation
cosine_without_mean_subtraction,vox_ca10,Shuffle-Both,12.100354066479944,0.7482825133435548,7.424826930190773,158.80192144673637,,,
cosine_without_mean_subtraction,vox_ca10,Far-Age,21.882101146752632,0.8214474449083171,17.20657401046346,368.01356315343327,11.63795381282038,113.6058808356977,0.1800850816466828
cosine_without_mean_subtraction,vox_ca15,Correct,7.2113975974216205,0.46989452094930795,0.0,0.0,,,
cosine_without_mean_subtraction,vox_ca15,Near-Age,14.049223556987986,0.7797758570172869,6.8378259595663655,94.81970543423063,,,
cosine_without_mean_subtraction,vox_ca15,Shuffle-S3,10.093759156167593,0.6818781130969798,2.8823615587459726,39.96952767902492,,,
cosine_without_mean_subtraction,vox_ca15,Shuffle-S4,9.350278347494879,0.5672795194843284,2.138880750073258,29.659725749111356,,,
cosine_without_mean_subtraction,vox_ca15,Shuffle-Both,14.404482859654266,0.8022634046293572,7.193085262232645,99.74606399187415,,,
cosine_without_mean_subtraction,vox_ca15,Far-Age,25.875329622033405,0.9563433929094614,18.663932024611785,258.81157948197074,11.826106065045419,84.17622523461944,0.17656753589217444
cosine_without_mean_subtraction,vox_ca20,Correct,9.603981363828886,0.6006988564167737,0.0,0.0,,,
cosine_without_mean_subtraction,vox_ca20,Near-Age,17.68318509106311,0.8905124947056287,8.079203727234223,84.12348401323042,,,
cosine_without_mean_subtraction,vox_ca20,Shuffle-S3,12.07115628970775,0.7705421431596801,2.4671749258788633,25.68908489525908,,,
cosine_without_mean_subtraction,vox_ca20,Shuffle-S4,11.012282930961458,0.6983269800931847,1.4083015671325718,14.66372657111357,,,
cosine_without_mean_subtraction,vox_ca20,Shuffle-Both,16.09487505294367,0.8883947479881373,6.490893689114785,67.58544652701215,,,
cosine_without_mean_subtraction,vox_ca20,Far-Age,25.042354934349852,0.9952350698856417,15.438373570520966,160.7497243660419,7.359169843286743,41.616766467065865,0.10472257518001304
